term_id,english,preferred_id,variants,rejected,scope,status,evidence,notes
HLA-T0001,linear algebra,aljabar linear,,,global,admitted,"src/pref/pref.tex","Use title case only in work/course titles"
HLA-T0002,vector space,ruang vektor,,,global,admitted,"src/pref/pref.tex","Established Indonesian mathematical term"
HLA-T0003,linear map,pemetaan linear,"transformasi linear",,global,admitted,"src/pref/pref.tex","Reserve transformasi linear where source explicitly says transformation"
HLA-T0004,Gaussian reduction,reduksi Gauss,"eliminasi Gauss",,global,admitted,"src/pref/pref.tex","Follow source's reduction wording; eliminasi remains context-specific"
HLA-T0005,determinant,determinan,,,global,admitted,"src/pref/pref.tex","Established Indonesian mathematical term"
HLA-T0006,eigenvalue,nilai eigen,"nilai karakteristik",,global,admitted,"src/pref/pref.tex","Preferred modern Indonesian form"
HLA-T0007,eigenvector,vektor eigen,"vektor karakteristik",,global,admitted,"src/pref/pref.tex","Preferred modern Indonesian form"
HLA-T0008,variable,variabel,"peubah",,global,admitted,"src/gr/gr1.tex","Use variabel consistently in reader prose"
HLA-T0009,proper subset,himpunan bagian sejati,,,global,admitted,"src/gr/gr1.tex","Standard set-theoretic rendering"
HLA-T0010,proper superset,superhimpunan sejati,"superset sejati",,global,admitted,"src/gr/gr1.tex","Pairs transparently with himpunan bagian sejati"
HLA-T0011,leading variable,variabel utama,,,global,admitted,"src/gr/gr1.tex","Paired with variabel bebas in echelon-form systems"
HLA-T0012,free variable,variabel bebas,,,global,admitted,"src/gr/gr1.tex","Not synonymous with parameter"
HLA-T0013,parameter,parameter,,,global,admitted,"src/gr/gr1.tex","Variable chosen to describe a family of solutions"
HLA-T0014,parametrize,memparameterkan,"parameterisasi",,global,admitted,"src/gr/gr1.tex","Use diparameterkan for the passive form; keep index and prose aligned"
HLA-T0015,matrix,matriks,,,global,admitted,"src/gr/gr1.tex","Established Indonesian mathematical term"
HLA-T0016,matrix row,baris matriks,,,global,admitted,"src/gr/gr1.tex","Use baris in matrix context"
HLA-T0017,matrix column,kolom matriks,,,global,admitted,"src/gr/gr1.tex","Use kolom in matrix context"
HLA-T0018,matrix entry,entri matriks,"unsur matriks",,global,admitted,"src/gr/gr1.tex","Prefer entri to mirror indexed notation"
